step,particle,x,y,z
0,0,66.595589,6.179512,27.630388
0,1,24.942616,-11.504362,19.127327
0,2,49.305790,-35.714157,43.705612
0,3,19.504284,17.460615,38.312313
0,4,23.513710,-27.722229,17.292049
0,5,41.356697,-17.377544,34.182228
0,6,66.768372,-3.778221,27.597408
0,7,23.865259,-7.015417,14.255325
0,8,46.866905,-32.180668,49.545414
0,9,42.490650,-30.101028,46.721786
1,0,75.940735,4.794506,26.329311
1,1,65.261246,-27.386860,26.520010
1,2,56.359631,-24.984730,51.832733
1,3,33.136803,-4.628023,64.194321
1,4,35.613117,-11.634998,29.878717
1,5,46.317524,-8.579935,16.586378
1,6,50.791817,2.450125,50.996120
1,7,23.506983,-39.984192,15.476511
1,8,52.073429,5.310505,9.972691
1,9,55.263145,-11.424755,39.359943
2,0,31.487104,-5.563399,21.731148
2,1,42.649708,-32.350441,28.231590
2,2,52.130081,-45.563339,59.464584
2,3,44.039692,-27.535324,20.099678
2,4,45.549675,-8.479236,21.327307
2,5,56.502197,-27.328045,22.141926
2,6,13.177874,-11.466481,26.685520
2,7,45.819370,-31.559696,19.158855
2,8,35.247437,-1.873222,24.083029
2,9,54.508766,-28.800358,35.857281
3,0,26.526281,-28.303524,71.828247
3,1,56.153385,-30.410503,17.877048
3,2,30.735413,-24.901672,34.788750
3,3,43.767567,-37.581528,40.490356
3,4,-1.236027,-26.981943,30.932245
3,5,47.312092,-37.737534,20.677933
3,6,35.254662,-51.538589,11.492086
3,7,67.770752,-38.577549,30.972992
3,8,17.057766,-4.666966,14.190681
3,9,53.079029,-15.690809,35.981205
4,0,48.850410,-30.644360,49.139351
4,1,30.130396,-34.148697,43.423004
4,2,55.490196,24.123240,5.003393
4,3,45.920341,-31.455009,10.843451
4,4,39.348164,-4.234131,35.570724
4,5,46.472359,-2.777891,54.755798
4,6,35.365784,-30.992258,17.593954
4,7,86.274292,-48.837715,29.362051
4,8,61.862843,-6.391560,37.439098
4,9,53.834538,-52.581657,32.735188
5,0,50.536331,-40.225121,25.862625
5,1,5.880558,-3.270000,58.406906
5,2,33.747696,-28.281366,30.339361
5,3,69.765228,-8.892565,29.828030
5,4,63.019810,-28.709085,27.276419
5,5,50.766354,-21.243805,23.929462
5,6,35.899776,-7.678370,28.031141
5,7,12.841719,-10.929081,43.017853
5,8,41.400986,-19.984495,53.872253
5,9,58.515396,-0.782465,17.678646
6,0,58.619354,-2.729311,42.016769
6,1,11.964046,-9.210886,24.537661
6,2,39.743958,-18.024443,65.463356
6,3,43.182507,1.273159,23.679222
6,4,60.522797,-46.104858,28.443001
6,5,29.606855,-15.874332,12.484123
6,6,34.500656,-4.538388,39.002899
6,7,10.472790,-31.231922,19.875217
6,8,6.206535,-5.162020,58.300560
6,9,48.442230,-17.834034,37.918285
7,0,36.088154,1.392256,23.248520
7,1,17.986181,8.243330,20.803404
7,2,39.782997,-35.878952,18.067806
7,3,30.894810,-20.280188,34.755318
7,4,55.158798,0.669458,-0.145704
7,5,68.608749,-47.327591,43.841118
7,6,41.809788,-20.425472,17.332478
7,7,50.987572,-19.891644,51.237679
7,8,71.762939,-30.899847,22.343731
7,9,40.949631,-29.030800,9.580933
8,0,44.665760,-0.906235,49.735626
8,1,59.414696,-14.468991,45.954559
8,2,69.726685,-6.608950,49.334446
8,3,13.963116,-39.005539,53.560051
8,4,33.348785,-30.769352,26.697575
8,5,30.603708,-37.645226,47.256027
8,6,33.954704,-6.513286,29.941090
8,7,15.452274,1.633442,25.103500
8,8,49.168762,5.319967,35.317085
8,9,62.488144,-45.267971,44.185810
9,0,69.965759,-28.832211,42.962788
9,1,55.865112,-10.683574,78.867332
9,2,25.211758,-33.704742,22.035633
9,3,40.682465,-13.063520,32.410580
9,4,32.277130,-14.774965,17.303848
9,5,41.108925,-7.840062,18.765728
9,6,49.660770,-18.174849,20.445240
9,7,43.881550,-27.975468,35.748814
9,8,57.332893,-13.400179,28.281727
9,9,30.637791,-13.226379,39.686119
10,0,43.337784,-14.678896,44.981537
10,1,37.731590,4.076233,38.477299
10,2,42.204823,-30.871212,21.877239
10,3,62.211033,-29.238207,25.571692
10,4,42.384129,-20.068569,67.881363
10,5,26.348825,-6.059469,56.570286
10,6,36.008831,-21.565853,31.702314
10,7,59.203495,-7.438001,25.606779
10,8,40.931438,-21.261341,57.919006
10,9,50.341072,-24.120899,3.190325
11,0,46.818756,-11.238872,26.828732
11,1,56.118603,-24.470770,23.683163
11,2,24.394760,-28.050255,6.820080
11,3,51.208263,-17.510422,22.879431
11,4,48.782310,0.270353,13.434586
11,5,56.480534,9.473249,50.164860
11,6,45.067745,-1.769577,29.375622
11,7,37.101276,1.606020,4.641068
11,8,46.327312,-0.462887,22.283009
11,9,42.216091,-16.392662,43.116444
12,0,37.347054,-2.578685,18.222589
12,1,30.848057,-7.415489,7.781462
12,2,60.067867,-6.535230,23.001587
12,3,44.705795,5.129852,28.408480
12,4,47.452534,-12.878366,37.745922
12,5,43.577911,-33.583214,34.244438
12,6,54.342857,-7.718967,53.135399
12,7,62.362362,-19.089521,30.677792
12,8,58.974266,-49.953346,17.532955
12,9,40.794518,3.870808,26.636028
13,0,49.484394,16.651865,36.727478
13,1,54.299965,-19.137846,19.354370
13,2,26.561903,-27.634592,47.064049
13,3,70.614456,-34.160553,28.714577
13,4,49.115131,-29.692425,14.011913
13,5,49.999756,-19.209208,46.472740
13,6,48.234306,-35.668083,21.701862
13,7,33.033524,-33.495972,32.415104
13,8,45.903263,-20.429873,16.778431
13,9,37.773560,16.423704,25.348818
14,0,39.722290,-7.650459,40.354733
14,1,36.759090,-18.537025,42.582336
14,2,50.736794,-51.507286,56.963791
14,3,38.260437,-17.473673,48.727043
14,4,12.229130,-29.104305,-4.975046
14,5,53.999214,-45.933739,40.446133
14,6,48.917427,-48.117981,25.760798
14,7,36.102039,-0.391928,21.567368
14,8,45.242180,-30.235687,55.849831
14,9,46.749012,-33.730888,33.143742
15,0,54.418377,-22.085379,48.366718
15,1,67.091660,-2.897285,6.063761
15,2,41.585060,-42.730389,33.788589
15,3,39.525764,-21.436039,43.414852
15,4,41.792156,-43.611084,38.495369
15,5,30.869213,18.420427,48.301926
15,6,32.276791,-8.507821,48.238464
15,7,27.888435,-33.284821,31.614168
15,8,35.435360,-21.848772,33.464977
15,9,83.063644,-39.952305,12.943327
16,0,43.968403,-28.813957,48.113300
16,1,25.754436,-52.920364,-2.441183
16,2,31.181339,-22.545803,38.311977
16,3,53.351814,-15.984037,34.168514
16,4,49.412937,-10.024218,33.696758
16,5,39.186836,-23.692814,35.859524
16,6,60.227234,3.470047,43.901493
16,7,43.528667,-3.565414,38.834064
16,8,54.887280,-21.825441,63.820129
16,9,32.728237,-40.120285,36.810802
17,0,52.238976,-52.614700,19.349943
17,1,43.881474,-7.987207,28.863899
17,2,61.529320,-34.083580,27.711138
17,3,39.816517,-10.904068,34.844616
17,4,49.595078,-27.516388,47.345905
17,5,27.386446,-13.216080,9.817150
17,6,47.941521,-10.437738,19.390196
17,7,38.373886,-34.079521,28.591986
17,8,45.617004,3.160782,29.740559
17,9,24.889133,6.313095,42.825470
18,0,51.566936,-40.148735,45.893883
18,1,35.469120,-35.855919,-5.280973
18,2,26.831047,-14.285936,16.207821
18,3,42.977146,-15.843588,16.694893
18,4,57.218128,1.691130,36.990597
18,5,34.372566,-15.479210,25.763391
18,6,38.439575,-24.431561,24.691250
18,7,48.975216,-11.007588,9.273659
18,8,26.349709,-27.283520,39.196205
18,9,51.984657,-21.418512,39.589279
19,0,47.881023,-15.191331,63.873177
19,1,24.417984,-18.954340,71.369232
19,2,38.985600,-9.772381,48.906334
